Key,Example,Source,Context,Game Locations,vi,vi translator type,id,id translator type,it,it translator type,es,es translator type,pt,pt translator type,fr,fr translator type,de,de translator type,zh-hans,zh-hans translator type,ja,ja translator type,ko,ko translator type,ru,ru translator type,th,th translator type,tr,tr translator type,zh-hant,zh-hant translator type,pl,pl translator type
,,"LMT's Obliteration mapped by LMT",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Obliteration của LMT được lập bản đồ bởi LMT","Automation","Obliterasi LMT dipetakan oleh LMT","Automation","Obliterazione di LMT mappata da LMT","Automation","Obliteración de LMT mapeada por LMT","Automation","Obliteração do LMT mapeada pelo LMT","Automation","Obliteration de LMT cartographiée par LMT","Automation","LMTs Auslöschung von LMT abgebildet","Automation","LMT的抹除被LMT映射","Automation","LMTによってマッピングされたLMTの消去","Automation","LMT에 의해 맵핑된 LMT의 소멸","Automation","Уничтожение LMT отображено LMT","Automation","Obliteration ของ LMT ถูก mapped โดย LMT","Automation","LMT tarafından eşleştirilen LMT'nin Yıkımı","Automation","由 LMT 映射的 LMT 銷毀","Automation","Obliteracja LMT zmapowana przez LMT","Automation"
,,"A SONG OF ETERNITY mapped by kxlman",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","A SONG OF ETERNITY được lập bản đồ bởi kxlman","Automation","A SONG OF ETERNITY dipetakan oleh kxlman","Automation","UNA CANZONE DELL'ETERNITÀ mappata da kxlman","Automation","UNA CANCIÓN DE LA ETERNIDAD mapeada por kxlman","Automation","UMA CANÇÃO DA ETERNIDADE mapeada por kxlman","Automation","UNE CHANT DE L'ÉTERNITÉ cartographiée par kxlman","Automation","EIN LIED DER EWIGKEIT von kxlman zugeordnet","Automation","由 kxlman 映射的永恒之歌","Automation","kxlmanによってマッピングされた永遠の歌","Automation","kxlman이 맵핑한 영원의 노래","Automation","ПЕСНЯ ВЕЧНОСТИ, отображенная kxlman","Automation","A SONG OF ETERNITY ที่ถูกทําแผนที่โดย kxlman","Automation","Kxlman tarafından eşleştirilen bir Sonsuzluk Şarkısı","Automation","由 kxlman 映射的永恆之歌","Automation","Piosenka wieczności zmapowana przez kxlman","Automation"
,,"{number1}'s Extra mapped by {number2}",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","{number1}'s Extra đã được map bởi {number2}","Automation","{number1}'s Ekstra dipetakan oleh {number2}","Automation","Extra di {number1} mappato da {number2}","Automation","{number1}'s Extra mapeado por {number2}","Automation","{number1}'s Extra mapeado por {number2}","Automation","Extra de {number1} mappé par {number2}","Automation","{number1}'s Extra wurde von {number2} zugeordnet","Automation","{number1} 的 额外被 {number2} 映射","Automation","{number1}のExtraが{number2}によってマッピングされました","Automation","의 이 (가) 에 의해 맵이 추가되었습니다.","Automation","Дополнительное отображение {number1} от {number2}","Automation","{number1} ของ Extra ถูกจับคู่โดย {number2}","Automation","{number1} adlı oyuncunun {number2} tarafından eşleştirildiği Ekstra","Automation","{number1} 的額外被 {number2} 映射","Automation","{number1}'s Extra mapowane przez {number2}","Automation"
,,"Boy",,"PlayerGui.MenuInterface.UserProfile.UserProfile.ProfilePage.GeneralInfomation.PlayerName","Cậu bé","Automation","Anak Laki-Laki","Automation","Ragazzo","Automation","Chico","Automation","Menino","Automation","Garçon","Automation","Junge","Automation","男孩","Automation","男子","Automation","소년","Automation","Мальчик","Automation","เด็กชาย","Automation","Erkek","Automation","男孩","Automation","Chłopiec","Automation"
,,"mapset by lahphnya",,"PlayerGui.BeatmapListing.MainFrame_Animation.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.MapperName","mapset bởi lahphnya","Automation","mapset oleh lahphnya","Automation","mapset di lahphnya","Automation","mapset por lahphnya","Automation","mapset por lahphnya","Automation","mapset par lahphnya","Automation","mapset von lahphnya","Automation","mapset 制作:lahphnya","Automation","マップセット: lahphnya","Automation","지도 세트 제작: lahphnya","Automation","набор карт от lahphnya","Automation","mapset โดย lahphnya","Automation","lahphnya tarafından haritalar","Automation","mapset 創作者:lahphnya","Automation","mapy stworzone przez lahphnya","Automation"
,,"Regret mapped by Strategas",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Hối hận được lập bản đồ bởi Strategas","Automation","Penyesalan dipetakan oleh Strategas","Automation","Rimpianto mappato da Strategas","Automation","Arrepentimiento mapeado por Strategas","Automation","Arrependimento mapeado por Strategas","Automation","Regret cartographié par Strategas","Automation","Bedauern von Strategas abgebildet","Automation","被 Strategas 映射的后悔","Automation","Strategasによってマッピングされた後悔","Automation","Strategas에 의해 맵핑된 후회","Automation","Сожаление отображено Strategas","Automation","เสียใจที่แผนที่โดย Strategas","Automation","Strategas tarafından eşleştirilen pişmanlık","Automation","被Strategas映射的悔恨","Automation","Żal zmapowany przez Strategas","Automation"
,,"toykii's Insane mapped by toybot and Mikii",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Insane của toykii được map bởi toybot và Mikii","Automation","Insane toykii dipetakan oleh toybot dan Mikii","Automation","Insane di toykii mappato da toybot e Mikii","Automation","Insane de toykii mapeado por toybot y Mikii","Automation","Insano do toykii mapeado pelo toybot e Mikii","Automation","Insane de toykii cartographié par le toybot et Mikii","Automation","toykii's Insane von toybot und Mikii abgebildet","Automation","toybot 和 Mikii 映射了 toykii 的疯狂","Automation","toybotとMikiiがマッピングしたtoykiiのクレイジー","Automation","toykii의 Insane이 toybot과 Mikii에 의해 매핑되었습니다.","Automation","Игрок-бот и Микии отобразили сумасшедшую игрушку toykii","Automation","toykii's Insane ทําแผนที่โดย toybot และ Mikii","Automation","toykii'nin Çılgını toybot ve Mikii tarafından eşleştirildi","Automation","toybot 和 Mikii 映射了 toykii 的瘋狂","Automation","Szalony toykii nakreślony przez toybota i Mikii","Automation"
,,"BeatmapsetID",,"PlayerGui.BG.DetailedBeatmapInformation.MainFrame.MainFrame.WebData.BeatmapsetID.Data","ID beatmapset","User","ID Set Peta Beat","Automation","ID del set di Beatmaps","Automation","ID del conjunto de mapas de ritmo","Automation","ID do Beatmapset","Automation","ID du Beatmapset","Automation","Beatmapset-ID","Automation","BeatmapsetID","Automation","ビートマップセットID","Automation","비트맵 세트 ID","Automation","Идентификатор Beatmapset","Automation","ID ของ Beatmapset","Automation","BeatmapsetİD","Automation","BeatmapsetID","Automation","Identyfikator Beatmapset","Automation"
,,"Playing - - STAY ONE [PikA's Extra]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi - - Ở LẠI [Thêm của PikA]","Automation","Bermain - - TINGGAL SATU [Ekstra PikA]","Automation","In gioco - - RESTA UN [Extra di PikA]","Automation","Jugando - - PERMANECER UNO [Extra de PikA]","Automation","Jogando - - PERMANECER UM [Extra de PikA]","Automation","En jeu - - RESTER UN [Extra de PikA]","Automation","Spielen - - BLEIBEN [PikA's Extra]","Automation","正在游玩 - - 留在[皮卡的额外]","Automation","プレイ中 - - 残り1 [ピカの追加]","Automation","플레이 중 - - 1명 추가 [피카의 추가]","Automation","Играем - - Оставаемся один [Дополнение от PikA]","Automation","กำลังเล่น - - อยู่อีกหนึ่ง [PikA's Extra]","Automation","Oynanıyor - - KAL [PikA'nın Ekstra]","Automation","正在游玩 - - 保留一份[皮卡的额外物]","Automation","Graszamy - - ZOSTA�MY JEDEN [Ekstra PikA]","Automation"
,,"Playing xi - FREEDOM DiVE [Universe]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi xi - FREEDOM DiVE [Vũ trụ]","Automation","Bermain xi - FREEDOM DiVE [Universe]","Automation","Giocando a xi - FREEDOM DiVE [Universo]","Automation","Jugando xi - FREEDOM DiVE [Universo]","Automation","Jogando xi - FREEDOM DiVE [Universo]","Automation","En train de jouer au xi - FREEDOM DiVE [Univers]","Automation","xi spielen - FREEDOM DiVE [Universum]","Automation","正在玩xi-FREEDOM DiVE [宇宙]","Automation","xiをプレイ中 - FREEDOM DiVE [宇宙]","Automation","xi 플레이 중 - FREEDOM DiVE [우주]","Automation","Играя в xi - FREEDOM DiVE [Вселенная]","Automation","เล่น xi - FREEDOM DiVE [จักรวาล]","Automation","xi oynuyor - FREEDOM DiVE [Evren]","Automation","正在玩xi-FREEDOM DiVE [宇宙]","Automation","Grając w xi - FREEDOM DiVE [Wielki wszechświat]","Automation"
,,"Xna",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.MapName","Xna","Automation","Xna","Automation","Xna","Automation","Xna","Automation","Xna","Automation","Xna","Automation","Xna","Automation","Xna","Automation","XNA","Automation","X나","Automation","Сна","Automation","เอ็กซ์นา","Automation","Xna","Automation","XNA","Automation","Xna","Automation"
,,"Hard mapped by theramdans",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","Đã được map cứng bởi theramdans","Automation","Sulit dipetakan oleh theramdans","Automation","Mappato duramente dai theramdans","Automation","Difícil de mapear por theramdans","Automation","Difícil de mapear por theramdans","Automation","Difficile de cartographier par les theramdans","Automation","Von Theramdans schwer abgebildet","Automation","由theramdans硬映射","Automation","theramdansによってハードマッピングされました","Automation","theramdan이 (가) 어렵게 매핑했습니다.","Automation","Тяжело сопоставлен theramdans","Automation","ทําแผนที่ยากโดย theramdans","Automation","Theramdans tarafından zor bir şekilde eşleştirildi","Automation","Theramdans 硬映射","Automation","Ciężko zmapowany przez theramdanów","Automation"
,,"Sesshoku",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongName","Sesshoku","Automation","Sesshoku","Automation","Sesshoku","Automation","Sesshoku","Automation","Sesshoku","Automation","Sesshoku","Automation","Sesshoku","Automation","节食","Automation","セスホク","Automation","세스호쿠","Automation","Sesshoku","Automation","Sesshoku","Automation","Sesshoku","Automation","四足","Automation","Sesshoku","Automation"
,,"FCL's Insane mapped by Sotarks",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.DifficultyName","FCL's Điên cuồng được Sotarks mô tả","Automation","FCL's Gila ditemukan oleh Sotarks","Automation","FCL's Insane mappata da Sotarks","Automation","FCL's Insano mapeado por Sotarks","Automation","FCL's Insano mapeado por Sotarks","Automation","FCL's Insane mappé par Sotarks","Automation","FCL's Verrücktes von Sotarks maped","Automation","FCL的疯狂地图由Sotarks绘制","Automation","FCLのクレイジー版マップがSotarksによって作成","Automation","FCL의 괴짜 구역을 Sotarks가 설계했다","Automation","Безумие ФКЛ отражен на карте от Sotarks","Automation","FCL's Insane ถูกแปลงโดย Sotarks","Automation","FCL'nin Çılgın modu Sotarks tarafından tasarlanldı","Automation","FCL的疯狂模式由Sotarks创作","Automation","FCL's Insane zmapowane przez Sotarks","Automation"
,,"Playing dj TAKA - quaver [Ultimate Crescendo]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi dj TAKA - quaver [Ultimate Crescendo]","Automation","Bermain dj TAKA - quaver [Ultimate Crescendo]","Automation","Giocando dj TAKA - quaver [Ultimate Crescendo]","Automation","Jugando dj TAKA - quaver [Ultimate Crescendo]","Automation","Jogando dj TAKA - quaver [Ultimate Crescendo]","Automation","Jouer au dj TAKA - quaver [Ultimate Crescendo]","Automation","DJ TAKA spielen - Quover [Ultimate Crescendo]","Automation","正在播放dj TAKA- quaver [终极Crescendo]","Automation","DJ TAKAをプレイ中 - クオーバー [Ultimate Crescendo]","Automation","DJ TAKA 연주 중 - 퀘버 [Ultimate Crescendo]","Automation","Играем в dj TAKA - quaver [Ultimate Crescendo]","Automation","กําลังเล่นดีเจ TAKA - quaver [Ultimate Crescendo]","Automation","DJ TAKA çalıyor - quaver [Ultimate Crescendo]","Automation","正在播放dj TAKA- quaver [Ultimate Crescendo]","Automation","Grając dj TAKA - quaver [Ultimate Crescendo]","Automation"
,,"Harumachi Clover (Swing Arrangement) (Dictate Edit)",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.MapName","Cỏ ba lá Harumachi (Swing Arrangement) (Chỉnh sửa)","Automation","Harumachi Clover (Pengaturan Ayunan) (Edit Kediktatoran)","Automation","Harumachi Clover (Disposizione a Sventola) (Dettato Modifica)","Automation","Trébol Harumachi (Arreglo de Swing) (Dictar Editar)","Automation","Harumachi Clover (Swing Arrangement) (Editar Ditado)","Automation","Trèfle de Harumachi (Arrangement de couture) (Édition de dictée)","Automation","Harumachi Klee (Schwingen-Arrangement) (Diktat bearbeiten)","Automation","春町三叶(秋千摆设)(指令编辑)","Automation","春町クローバー(スイングアレンジ)(編集)","Automation","하루마치 클로버 (날개 배치) (그림 편집)","Automation","Клевер Харумачи (Крушение) (Диктовка)","Automation","ดอกฮารุมาจิ (การแกว่ง) (แก้ไขภาพ)","Automation","Harumachi Clover (Çizim Düzenlemesi)","Automation","HarumachiClover(翅膀安排)(照片編輯)","Automation","Koniczyna Harumachi (Układ Skrzydłowy) (Dyktuj Edycję)","Automation"
,,"Plane",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerName","Máy bay","Automation","Pesawat","Automation","Aereo","Automation","Avión","Automation","Avião","Automation","Avion","Automation","Flugzeug","Automation","飞机","Automation","飛行機","Automation","비행기","Automation","Самолет","Automation","เครื่องบิน","Automation","Uçak","Automation","飛機","Automation","Samolot","Automation"
,,"Poppin'Party",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongArtist","Tiệc Poppin'","Automation","Pesta Poppin","Automation","Festa Poppin","Automation","Fiesta Poppin'","Automation","Festa Poppin","Automation","Fête de la Poupée","Automation","Poppin'Party","Automation","Poppin'派对","Automation","ポピンパーティー","Automation","파티 터지기","Automation","Зажигательная вечеринка","Automation","ป๊อบปินปาร์ตี้","Automation","Poppin'Parti","Automation","流行派對","Automation","Impreza Poppin'","Automation"
,,"Playing TUYU - Kuraberarekko [Relatively Hard]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi TUYU - Kuraberarekko [Khá khó]","Automation","Memainkan TUYU - Kuraberarekko [Agak Sulit]","Automation","Giocando a TUYU - Kuraberarekko [Relativamente difficile]","Automation","Jugando a TUYU - Kuraberarekko [Relativamente difícil]","Automation","Jogando TUYU - Kuraberarekko [Relativamente Difícil]","Automation","Jouer à TUYU - Kuraberarekko [Niveau relativement élevé]","Automation","TUYU - Kuraberarekko spielen [Relativ schwer]","Automation","正在游玩TUYU - Kuraberarekko [相对困难]","Automation","TUYU - Kuraberarekkoをプレイ [比較的難しい]","Automation","투유 - 쿠라바레크코 플레이 중 [비교적 어려움]","Automation","Играем в TUYU - Kuraberarekko [Не совсем легко]","Automation","กำลังเล่น TUYU - Kuraberarekko [ค่อนข้างยาก]","Automation","TUYU - Kuraberarekko oynanıyor [Nispeten zor]","Automation","正在游玩TUYU - Kuraberarekko [相对困难]","Automation","Graszam w TUYU - Kuraberarekko [W miarę trudno]","Automation"
,,"Playing Camellia - introduction - INSANE INFLAME [Normal]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Chơi Camellia - giới thiệu - CÁC L]N NHIỆM ĐIÊN [Bình thường]","Automation","Bermain Camellia - pengenalan - INSANE INFLAME [Normal]","Automation","Giocando a Camellia - introduzione - INSANE FLAME [Normal]","Automation","Jugando Camellia - introducción - INSANE FLAME [Normal]","Automation","Jogando Camellia - introdução - INSANE FLAME [Normal]","Automation","Jouer à Camellia - introduction - INSANE FLAME [Normal]","Automation","Camellia spielen - Einführung - INSANE FLAME [Normal]","Automation","玩迷迭香 - 介绍 - 疯狂火焰 [正常]","Automation","カメリアを弾く-導入-クレイジーな炎[ノーマル]","Automation","카멜리아 재생 - 소개 - 광란의 화염 [정상]","Automation","Играя в Camellia - введение - INSANE INFLAME [Нормальный]","Automation","เล่น Camellia - บทนํา - INSANE FLAME [ปกติ]","Automation","Camellia Oynama - giriş - Çılgın Ateş [Normal]","Automation","玩迷迭香 - 介紹 - 瘋狂的火焰 [正常]","Automation","Gra Camellia - wprowadzenie - INSANE FLAME [Normalny]","Automation"
,,"Beatmap: DECO*{number1} - Otome Dissection feat. Hatsune Miku | [hhjkl's hard] // YelloJello",,"PlayerGui.BG.ResultFrame_EndRender.DetailedInfo",,,,,,,,,,,,,,,"舞台地图： 装饰*{number1} - 奥托메解剖功能 - 哈茨尼米克 | [hhjkl的困难] // 黄色糖果","Automation","ビートマップ: DECO*{number1} - オトメ解剖 feat. ハツネミク | [hhjklのハードモード] // イエロジェロ","Automation","비트맵: 데코*{number1} - 오토메 디세션 feat. 하츠네 미ク | [hhjkl의 어려움] // YelloJello","Automation",,,,,,,"舞步地图： 迪科*{number1} - 奥托姐解剖表演 feat. 哈ツ娜米克 | [hhjkl的难度] // 黄色泡泡","Automation",,
,,"ハッピータイムは終わらない (Cut Ver.)",,"PlayerGui.PlayScreen.MetaData.SongName","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは结束 (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation","ハッピータイムは終わらない (Cut Ver.)","Automation"
,,"Playing - - {number1} [Normal]",,"PlayerGui.MenuInterface.PlayerListFrame.MainFrame.PlayerFrame.PlayerStatus","Đang chơi - - {number1} [Bình thường]","Automation","Bermain - - {number1} [Normal]","Automation","Giocando - - {number1} [Normale]","Automation","Jugando - - {number1} [Normal]","Automation","Jogando - - {number1} [Normal]","Automation","En train de jouer - - {number1} [Normal]","Automation","Spielt - - {number1} [Normal]","Automation","正在播放 - - {number1} [正常]","Automation","プレイ中 - - {number1} [ノーマル]","Automation","플레이 중 - - {number1} [정상]","Automation","Играет - - {number1} [Обычный]","Automation","กําลังเล่น - - {number1} [ปกติ]","Automation","Oynama - - {number1} [Normal]","Automation","正在播放 - - {number1} [正常]","Automation","Gra - - {number1} [Normalny]","Automation"
,,"Otome Dissection feat. Hatsune Miku",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.MapInfo.SongName","Thành công của Otome Dissection. Hatsune Miku","Automation","Kegiatan Pembedahan Otome. Hatsune Miku","Automation","Otome Dissection feat. Hatsune Miku","Automation","Habilidad de disección de Otome. Hatsune Miku","Automation","Destruição de Ótomo feat. Hatsune Miku","Automation","Dissection d'Otome feat. Hatsune Miku","Automation","Otome-Dissektion feat. Hatsune Miku","Automation","Otome解剖壮举。Hatsune Miku","Automation","オトメ解剖の傑作。ハツネ・ミク","Automation","오토메 해부 업적. 하츠네 미쿠","Automation","Резекция Otome feat. Hatsune Miku","Automation","ความสําเร็จของ Otome Dissection Hatsune Miku","Automation","Otome diseksiyon feat. Hatsune Miku","Automation","Otome解剖傑作。Hatsune Miku","Automation","Dzieło Otome Dissection. Hatsune Miku","Automation"
,,"Normal mapped by melonboy",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Overlay.Base.Diff.MainFrame.DifficultyInfo","Normal đã được map bởi melonboy","Automation","Normal dipetakan oleh melonboy","Automation","Normale mappato da melonboy","Automation","Normal asignado por melonboy","Automation","Normal mapeado por melonboy","Automation","Normal mappé par melonboy","Automation","Normal von melonboy zugeordnet","Automation","正常由melonboy映射","Automation","メロンボーイがマッピングしたノーマル","Automation","melonboy이 매핑한 일반","Automation","Обычная карта от melonboy","Automation","Normal ถูกแมปโดย melonboy","Automation","Melonboy tarafından eşleştirilen Normal","Automation","正常由melonboy映射","Automation","Normal mapowany przez melonboya","Automation"
,,"Approach circle size (on hit)",,"Workspace.__DEVELOPER_TEST.MainModule.GameInstance.StarterGui.Settings.SettingFrame.BaseFrame.MainLayer.SkinCustomize.Base.Circle.Base.ApproachCircleSize.Display","Kích thước vòng tròn tiếp cận (khi chạm với vòng tròn gốc)","User","Ukuran lingkaran pendekatan (pada hit)","Automation","Dimensione del cerchio di avvicinamento (al colpo)","Automation","Tamaño del círculo de aproximación (al golpe)","Automation","Tamanho do círculo de aproximação (ao acertar)","Automation","Taille du cercle d'approche (sur coup)","Automation","Annäherungskreisgröße (bei Treffer)","Automation","接近圆圈大小(击中时)","Automation","接近サークルのサイズ(ヒット時)","Automation","접근 원 크기 (타격 시)","Automation","Размер круга приближения (при ударе)","Automation","ขนาดวงกลมใกล้เคียง (เมื่อกด)","Automation","Yaklaşım dairesi boyutu (vuruşta)","Automation","接近圓圈大小(擊中時)","Automation","Rozmiar koła podejścia (po trafieniu)","Automation"
,,"Extreme mapped by Feruver",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Cực đoan được lập bản đồ bởi Feruver","Automation","Ekstrim dipetakan oleh Feruver","Automation","Estremo mappato da Feruver","Automation","Extremo mapeado por Feruver","Automation","Extremo mapeado por Feruver","Automation","Extrême cartographié par Feruver","Automation","Extrem von Feruver kartiert","Automation","由 Feruver 映射的极限","Automation","Feruverによってマップされたエクストリーム","Automation","페루버가 맵핑한 익스트림","Automation","Экстрим, нанесенный на карту Feruver","Automation","เอ็กซ์ตรีมที่ถูกทําแผนที่โดย Feruver","Automation","Feruver tarafından haritalanan aşırılık","Automation","由 Feruver 映射的極限","Automation","Ekstremalny zmapowany przez Feruver","Automation"
,,"AyanokoRin's Normal mapped by AyanokoRin",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Actual.Base.Diff.MainFrame.DifficultyInfo","Bản đồ bình thường của AyanokoRin được tạo bởi AyanokoRin","Automation","Peta Normal milik AyanokoRin telah ditampilkan","Automation","AyanokoRin's Normal mappato da AyanokoRin","Automation","El escenario normal de AyanokoRin ha sido mapeado por AyanokoRin","Automation","Normal de AyanokoRin mapeado por AyanokoRin","Automation","Carte normale de AyanokoRin","Automation","AyanokoRin's Normal von AyanokoRin gemappt","Automation","AyanokoRin根据AyanokoRin自己的地图设计的","Automation","AyanokoRinによってAyanokoRinのノーマルが作成されました","Automation","AyanokoRin이 제작한 일반 맵","Automation","Обычная карта игрока AyanokoRin","Automation","แผนที่ปกติของ AyanokoRin' โดย AyanokoRin","Automation","AyanokoRin tarafından AyanokoRin'nin normali belirlendi","Automation","AyanokoRin根据AyanokoRin自己的经验地图设计","Automation","Normalna mapa autorstwa AyanokoRin dla AyanokoRin","Automation"
,,"Beta  V{number1}",,"PlayerGui.BG.GameVersion","Phiên bản Beta V{number1}","Automation","Versi Beta {number1}","Automation","Versione Beta {number1}","Automation","Versión Beta {number1}","Automation","Versão Beta V{number1}","Automation","Bêta V{number1}","Automation","Beta-Version {number1}","Automation","测试版 V{number1}","Automation","ベータ V{number1}","Automation","베타 V{number1}","Automation","Бета V{number1}","Automation","เบต้า V{number1}","Automation","Beta Sürümü {number1}","Automation","測試版 V{number1}","Automation","Wersja Beta {number1}","Automation"
,,"Akitoshi's Beginner mapped by Akitoshi",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Người mới bắt đầu của Akitoshi được ánh xạ bởi Akitoshi","Automation","Pemula Akitoshi dipetakan oleh Akitoshi","Automation","Il principiante di Akitoshi mappato da Akitoshi","Automation","Principiante de Akitoshi mapeado por Akitoshi","Automation","Iniciante de Akitoshi mapeado por Akitoshi","Automation","Le débutant d'Akitoshi mappé par Akitoshi","Automation","Akitoshis Anfänger wurde von Akitoshi zugeordnet","Automation","Akitoshi 映射了 Akitoshi 的初学者","Automation","アキトシの初心者マッピング","Automation","아키토시가 지도한 아키토시의 초보자","Automation","Начинающий Акитоши отображен Акитоши","Automation","ผู้เล่น Akitoshi ได้ทําแผนที่ Akitoshi's Beginner แล้ว","Automation","Akitoshi tarafından eşlenen Akitoshi'nin Yeni Başlayanı","Automation","Akitoshi 映射了 Akitoshi 的初學者","Automation","Początkujący Akitoshi's mapped by Akitoshi","Automation"
,,"Night sky",,"PlayerGui.BG.PreviewFrame.PreviewFrame.Overview.MapName","Bầu trời đêm","Automation","Langit Malam","Automation","Cielo notturno","Automation","Cielo nocturno","Automation","Céu noturno","Automation","Ciel nocturne","Automation","Nachthimmel","Automation","夜空","Automation","夜空","Automation","밤하늘","Automation","Ночное небо","Automation","ท้องฟ้ายามค่ําคืน","Automation","Gece gökyüzü","Automation","夜空","Automation","Nocne niebo","Automation"
,,"dkblaze's Remorse mapped by dkblaze",,"PlayerGui.BeatmapListing.MainFrame.MainFrame.Listing.BeatmapFrame.MainFrame.DifficultyListing.Diff.MainFrame.DifficultyInfo","Sự hối hận của dkblaze đã được dkblaze lập bản đồ","Automation","Penyesalan dkblaze dipetakan oleh dkblaze","Automation","Rimorso di dkblaze mappato da dkblaze","Automation","Remordimiento de dkblaze mapeado por dkblaze","Automation","Remorso do dkblaze mapeado pelo dkblaze","Automation","Le remords de dkblaze cartographié par dkblaze","Automation","dkblaze's Reue von dkblaze zugeordnet","Automation","dkblaze的悔恨由dkblaze映射","Automation","dkblazeの悔恨がdkblazeによってマッピングされました","Automation","dkblaze의 후회가 dkblaze에 의해 매핑되었습니다","Automation","Раскаяние dkblaze на карте dkblaze","Automation","ความเสียใจของ dkblaze ถูก mapped โดย dkblaze","Automation","dkblaze'nin Pişmanlığı dkblaze tarafından eşleştirildi","Automation","dkblaze的悔恨由dkblaze映射","Automation","Skrucha dkblaze'a zmapowana przez dkblaze","Automation"
